fim_projeto,prazo_dias_corridos,RH,FINANCE,SUPPLY_CHAIN,COMERCIAL_2
05/10/2026,211,Squad 2,Squad 5,Squad 3,Squad 5
05/10/2026,211,Squad 5,Squad 5,Squad 3,Squad 2
07/10/2026,213,Squad 3,Squad 5,Squad 2,Squad 5
07/10/2026,213,Squad 5,Squad 5,Squad 2,Squad 3
14/10/2026,220,Squad 2,Squad 5,Squad 5,Squad 3
14/10/2026,220,Squad 3,Squad 5,Squad 5,Squad 2
22/10/2026,228,Squad 5,Squad 2,Squad 3,Squad 5
22/10/2026,228,Squad 5,Squad 3,Squad 2,Squad 5
29/10/2026,235,Squad 2,Squad 3,Squad 5,Squad 3
29/10/2026,235,Squad 5,Squad 3,Squad 2,Squad 3
30/10/2026,236,Squad 3,Squad 3,Squad 2,Squad 5
30/10/2026,236,Squad 3,Squad 3,Squad 5,Squad 2
03/11/2026,240,Squad 3,Squad 2,Squad 5,Squad 2
03/11/2026,240,Squad 5,Squad 2,Squad 3,Squad 2
04/11/2026,241,Squad 2,Squad 2,Squad 3,Squad 5
04/11/2026,241,Squad 2,Squad 2,Squad 5,Squad 3
05/11/2026,242,Squad 2,Squad 1,Squad 3,Squad 5
05/11/2026,242,Squad 2,Squad 1,Squad 5,Squad 3
05/11/2026,242,Squad 3,Squad 1,Squad 2,Squad 5
05/11/2026,242,Squad 3,Squad 1,Squad 5,Squad 2
05/11/2026,242,Squad 5,Squad 1,Squad 2,Squad 3
05/11/2026,242,Squad 5,Squad 1,Squad 3,Squad 2
06/11/2026,243,Squad 2,Squad 4,Squad 3,Squad 5
06/11/2026,243,Squad 2,Squad 4,Squad 5,Squad 3
06/11/2026,243,Squad 3,Squad 4,Squad 2,Squad 5
06/11/2026,243,Squad 3,Squad 4,Squad 5,Squad 2
06/11/2026,243,Squad 5,Squad 4,Squad 2,Squad 3
06/11/2026,243,Squad 5,Squad 4,Squad 2,Squad 5
06/11/2026,243,Squad 5,Squad 4,Squad 3,Squad 2
06/11/2026,243,Squad 5,Squad 4,Squad 3,Squad 5
18/11/2026,255,Squad 3,Squad 2,Squad 5,Squad 3
18/11/2026,255,Squad 3,Squad 4,Squad 2,Squad 3
18/11/2026,255,Squad 3,Squad 4,Squad 5,Squad 3
