cenario,fim_lake_otimizado,fim_projeto,squad_ajudada,historias_squad_original,historias_squad5
Squad 5 ajuda RH,28/07/2026,11/08/2026,Squad 2,55,17
Squad 5 ajuda SUPPLY CHAIN,20/07/2026,28/08/2026,Squad 4,72,13
