chave,titulo,squad,squad_original,lake,fase,recurso,mediana_usada,data_inicio,data_fim,duracao_dias,status_atual
BF3E4-5295,[SHARED SERVICES - 64] Entidade: Workday - Views Normalized - Benefícios Parte 1 - TAMANHO: G DAG: data-lake-hrc-sharedservices-workday-benefits-data,SQUAD_4,SQUAD_4,SHAREDSERVICES,QA,QA - 9,"3,14 dias",24/05/2026,25/05/2026,1.45,Test
BF3E4-5124,[SHARED SERVICES - 44] Entidade: CIC - Controle de Compensação - TAMANHO: P,SQUAD_4,SQUAD_4,SHAREDSERVICES,Dev,Dev 1 - Squad 4,"7,01 dias",24/05/2026,27/05/2026,3.28,IN DEVELOPMENT
BF3E4-5124,[SHARED SERVICES - 44] Entidade: CIC - Controle de Compensação - TAMANHO: P,SQUAD_4,SQUAD_4,SHAREDSERVICES,QA,QA - 2,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-5159,[SHARED SERVICES - 49] Entidade: Logs de SLA de Itens - Portal GT - TAMANHO: P,SQUAD_4,SQUAD_4,SHAREDSERVICES,Dev,Dev 2 - Squad 4,"7,01 dias",24/05/2026,27/05/2026,3.09,IN DEVELOPMENT
BF3E4-5159,[SHARED SERVICES - 49] Entidade: Logs de SLA de Itens - Portal GT - TAMANHO: P,SQUAD_4,SQUAD_4,SHAREDSERVICES,QA,QA - 3,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-5181,[SHARED SERVICES - 52] Entidade: Tabelas Manuais - TAMANHO: P,SQUAD_4,SQUAD_4,SHAREDSERVICES,QA,QA - 10,"3,14 dias",24/05/2026,27/05/2026,3.14,IN DEVELOPMENT
BF3E4-3957,[SUPPLY CHAIN - 16] Entidade: Tabelas Auxiliares e Views Complementares - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 11,"3,14 dias",24/05/2026,26/05/2026,2.38,Test
BF3E4-4190,[SUPPLY CHAIN - 35] Entidade: Desenhos Calculados por Seção (SSOLQ150) - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 12,"3,14 dias",24/05/2026,24/05/2026,0.26,Test
BF3E4-4343,[SUPPLY CHAIN - 51] Entidade: Ingestão Flow - Parte 2 (CBH e Months Rolling) - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 13,"3,14 dias",24/05/2026,25/05/2026,1.22,Test
BF3E4-4363,[SUPPLY CHAIN - 53] Entidade: Views Consolidadas e Analíticas Avançadas - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 14,"3,14 dias",24/05/2026,24/05/2026,0.3,Test
BF3E4-4392,[SUPPLY CHAIN - 57] Entidade: Rastreamento Real-Time via Pub/Sub - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 15,"3,14 dias",24/05/2026,24/05/2026,0.0,Test
BF3E4-4409,[SUPPLY CHAIN - 59] Entidade: Processamento Delta Chegadas e Views Especializadas - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 16,"3,14 dias",24/05/2026,26/05/2026,2.29,Test
BF3E4-4644,[SUPPLY CHAIN - 80] Entidade: Views NAFTA - Dimensões Veículos e Produtos - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 17,"3,14 dias",24/05/2026,25/05/2026,1.37,Test
BF3E4-3986,[SUPPLY CHAIN - 18] Entidade: Pedidos Logísticos e Itens - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 18,"3,14 dias",24/05/2026,27/05/2026,3.14,Waiting Test
BF3E4-4252,[SUPPLY CHAIN - 41] Entidade: Apontamentos e Material em Trânsito - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 1 - Squad 5,"7,01 dias",24/05/2026,27/05/2026,3.05,IN DEVELOPMENT
BF3E4-4252,[SUPPLY CHAIN - 41] Entidade: Apontamentos e Material em Trânsito - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 6,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-4331,[SUPPLY CHAIN - 50] Entidade: Ingestão Flow - Parte 1 (Cálculo Previsional e CBA) - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 19,"3,14 dias",24/05/2026,27/05/2026,3.14,IN DEVELOPMENT
BF3E4-4402,[SUPPLY CHAIN - 58] Entidade: Outbound Transporte Batch via DataStage - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 20,"3,14 dias",24/05/2026,27/05/2026,3.14,IN DEVELOPMENT
BF3E4-4515,[SUPPLY CHAIN - 67] Entidade: Comprovação Eletrônica de Entrega - EPOD Completo - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 4 - Squad 5,"7,01 dias",24/05/2026,27/05/2026,2.98,IN DEVELOPMENT
BF3E4-4515,[SUPPLY CHAIN - 67] Entidade: Comprovação Eletrônica de Entrega - EPOD Completo - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 7,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-4621,[SUPPLY CHAIN - 77] Entidade: Consolidação Principal - tb_actual e View Base - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 5 - Squad 5,"7,01 dias",24/05/2026,25/05/2026,1.22,IN DEVELOPMENT
BF3E4-4621,[SUPPLY CHAIN - 77] Entidade: Consolidação Principal - tb_actual e View Base - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 8,"3,14 dias",25/05/2026,28/05/2026,3.14,IN DEVELOPMENT
BF3E4-4660,[SUPPLY CHAIN - 82] Entidade: Eventos e Pedidos Comerciais - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 6 - Squad 5,"7,01 dias",24/05/2026,25/05/2026,0.98,IN DEVELOPMENT
BF3E4-4660,[SUPPLY CHAIN - 82] Entidade: Eventos e Pedidos Comerciais - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 21,"3,14 dias",25/05/2026,28/05/2026,3.14,IN DEVELOPMENT
BF3E4-4666,[SUPPLY CHAIN - 83] Entidade: Indicadores FCO - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 22,"3,14 dias",24/05/2026,27/05/2026,3.14,IN DEVELOPMENT
BF3E4-4685,[SUPPLY CHAIN - 85] Entidade: KPIs de Vendas e Produção - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 8 - Squad 5,"7,01 dias",24/05/2026,26/05/2026,2.36,IN DEVELOPMENT
BF3E4-4685,[SUPPLY CHAIN - 85] Entidade: KPIs de Vendas e Produção - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 9,"3,14 dias",26/05/2026,29/05/2026,3.14,IN DEVELOPMENT
BF3E4-4635,[SUPPLY CHAIN - 79] Entidade: Views Planejamento - Budget Forecast e Estimativas - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 9 - Squad 5,"7,01 dias",24/05/2026,31/05/2026,7.01,To Do
BF3E4-4635,[SUPPLY CHAIN - 79] Entidade: Views Planejamento - Budget Forecast e Estimativas - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 4,"3,14 dias",31/05/2026,03/06/2026,3.14,To Do
BF3E4-4417,[SUPPLY CHAIN - 60] Entidade: Carga Base RapidResponse - Hierarquias e Descrições - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 10 - Squad 5,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4417,[SUPPLY CHAIN - 60] Entidade: Carga Base RapidResponse - Hierarquias e Descrições - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 5,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4430,[SUPPLY CHAIN - 61] Entidade: Cadastros de Canais e Subcanais - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 1 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4430,[SUPPLY CHAIN - 61] Entidade: Cadastros de Canais e Subcanais - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 8,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4437,"[SUPPLY CHAIN - 62] Entidade: Planejamento Operacional - Parte 1 (OSS, PSA, Confirmado) - TAMANHO: G",SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 2 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4437,"[SUPPLY CHAIN - 62] Entidade: Planejamento Operacional - Parte 1 (OSS, PSA, Confirmado) - TAMANHO: G",SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 9,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4458,[SUPPLY CHAIN - 63] Entidade: Planejamento Operacional - Parte 2 (Geral e Volume Indústria) - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 3 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4458,[SUPPLY CHAIN - 63] Entidade: Planejamento Operacional - Parte 2 (Geral e Volume Indústria) - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 10,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4473,[SUPPLY CHAIN - 64] Entidade: Planejamento Assegnazione e Emplacamento - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 4 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4473,[SUPPLY CHAIN - 64] Entidade: Planejamento Assegnazione e Emplacamento - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 11,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4488,[SUPPLY CHAIN - 65] Entidade: Lista Mestre Pokey e Produto A13 - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 5 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4488,[SUPPLY CHAIN - 65] Entidade: Lista Mestre Pokey e Produto A13 - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 12,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4503,[SUPPLY CHAIN - 66] Entidade: Dados Atuais e Emissão CO2 - Export Files - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 6 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4503,[SUPPLY CHAIN - 66] Entidade: Dados Atuais e Emissão CO2 - Export Files - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 13,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4650,[SUPPLY CHAIN - 81] Entidade: Stock History Regional - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 7 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4650,[SUPPLY CHAIN - 81] Entidade: Stock History Regional - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 14,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-4674,[SUPPLY CHAIN - 84] Entidade: Estoque OEM e Dealer - TAMANHO: G,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 8 - Squad 2,"7,01 dias",24/05/2026,31/05/2026,7.01,Refined
BF3E4-4674,[SUPPLY CHAIN - 84] Entidade: Estoque OEM e Dealer - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 15,"3,14 dias",31/05/2026,03/06/2026,3.14,Refined
BF3E4-2472,[COMERCIAL - 40] CSI Vendas - DataMart - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,14 dias",24/05/2026,24/05/2026,0.0,Test
BF3E4-2616,[COMERCIAL - 51] Emplacamentos Pessoa Física (PF) - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,14 dias",25/05/2026,25/05/2026,0.0,Test
BF3E4-2527,[COMERCIAL - 43] Metadados e Controle - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,14 dias",25/05/2026,28/05/2026,3.14,IN DEVELOPMENT
BF3E4-2542,[COMERCIAL - 44] After Sales - Argentina e Chile - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 17,"3,14 dias",25/05/2026,28/05/2026,3.14,IN DEVELOPMENT
BF3E4-2559,[COMERCIAL - 45] After Sales - Brasil - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 16,"3,14 dias",26/05/2026,29/05/2026,3.14,IN DEVELOPMENT
BF3E4-2623,[COMERCIAL - 52] Vendas de Veículos Leves (Light Vehicle Sales) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 18,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-2632,[COMERCIAL - 53] Powertrain de Veículos Leves (Light Vehicle Powertrain) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 19,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-2651,[COMERCIAL - 55] Ciclos de Planejamento de Veículos (Vehicle Cycle Plans) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 20,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-2662,[COMERCIAL - 56] Segmentação de Produtos e Previsões (Product Segmentation) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 22,"3,14 dias",27/05/2026,30/05/2026,3.14,IN DEVELOPMENT
BF3E4-2671,[COMERCIAL - 57] Governança e Histórico Consolidado (Governance & CCP Hist) - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 21,"3,14 dias",28/05/2026,31/05/2026,3.14,IN DEVELOPMENT
BF3E4-2679,[COMERCIAL - 58] Auditoria e Logs - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,14 dias",28/05/2026,31/05/2026,3.14,IN DEVELOPMENT
BF3E4-2685,[COMERCIAL - 59] Catálogo e Características Básicas - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 17,"3,14 dias",28/05/2026,01/06/2026,3.14,IN DEVELOPMENT
BF3E4-2750,[COMERCIAL - 64] BR Cadastros de Respostas e Metadados - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 16,"3,14 dias",29/05/2026,01/06/2026,3.14,IN DEVELOPMENT
BF3E4-7133,[COMERCIAL - 48] Plan de Ahorro (Consórcio) - Completo - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 17,"3,14 dias",01/06/2026,04/06/2026,3.14,IN DEVELOPMENT
BF3E4-2698,[COMERCIAL - 60] Preços e Mercado - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 13 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,To Do
BF3E4-2698,[COMERCIAL - 60] Preços e Mercado - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 7,"3,14 dias",01/06/2026,04/06/2026,3.14,To Do
BF3E4-2939,[COMERCIAL - 79] QFS Brasil - Metadata e Population (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 14 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2939,[COMERCIAL - 79] QFS Brasil - Metadata e Population (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 1,"3,14 dias",01/06/2026,04/06/2026,3.14,Open
BF3E4-2954,[COMERCIAL - 80] QFS Brasil - Respondent (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 15 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2954,[COMERCIAL - 80] QFS Brasil - Respondent (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 6,"3,14 dias",01/06/2026,04/06/2026,3.14,Open
BF3E4-2965,[COMERCIAL - 81] QFS Brasil - Respondent (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 16 - Squad 6,"7,01 dias",24/05/2026,31/05/2026,7.01,Open
BF3E4-2965,[COMERCIAL - 81] QFS Brasil - Respondent (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 3,"3,14 dias",01/06/2026,04/06/2026,3.14,Open
