chave,titulo,squad,squad_original,lake,fase,recurso,mediana_usada,data_inicio,data_fim,duracao_dias,status_atual
BF3E4-4252,[SUPPLY CHAIN - 41] Entidade: Apontamentos e Material em Trânsito - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 1 - Squad 5,"7,16 dias",24/05/2026,27/05/2026,3.2,IN DEVELOPMENT
BF3E4-4252,[SUPPLY CHAIN - 41] Entidade: Apontamentos e Material em Trânsito - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 4,"4,10 dias",27/05/2026,31/05/2026,4.1,IN DEVELOPMENT
BF3E4-4331,[SUPPLY CHAIN - 50] Entidade: Ingestão Flow - Parte 1 (Cálculo Previsional e CBA) - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 19,"4,10 dias",24/05/2026,28/05/2026,4.1,IN DEVELOPMENT
BF3E4-4402,[SUPPLY CHAIN - 58] Entidade: Outbound Transporte Batch via DataStage - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 20,"4,10 dias",24/05/2026,28/05/2026,4.1,IN DEVELOPMENT
BF3E4-4515,[SUPPLY CHAIN - 67] Entidade: Comprovação Eletrônica de Entrega - EPOD Completo - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 4 - Squad 5,"7,16 dias",24/05/2026,27/05/2026,3.13,IN DEVELOPMENT
BF3E4-4515,[SUPPLY CHAIN - 67] Entidade: Comprovação Eletrônica de Entrega - EPOD Completo - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 6,"4,10 dias",27/05/2026,31/05/2026,4.1,IN DEVELOPMENT
BF3E4-4621,[SUPPLY CHAIN - 77] Entidade: Consolidação Principal - tb_actual e View Base - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 5 - Squad 5,"7,16 dias",24/05/2026,25/05/2026,1.37,IN DEVELOPMENT
BF3E4-4621,[SUPPLY CHAIN - 77] Entidade: Consolidação Principal - tb_actual e View Base - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 7,"4,10 dias",25/05/2026,29/05/2026,4.1,IN DEVELOPMENT
BF3E4-4660,[SUPPLY CHAIN - 82] Entidade: Eventos e Pedidos Comerciais - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 6 - Squad 5,"7,16 dias",24/05/2026,25/05/2026,1.13,IN DEVELOPMENT
BF3E4-4660,[SUPPLY CHAIN - 82] Entidade: Eventos e Pedidos Comerciais - TAMANHO: P,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 8,"4,10 dias",25/05/2026,29/05/2026,4.1,IN DEVELOPMENT
BF3E4-4666,[SUPPLY CHAIN - 83] Entidade: Indicadores FCO - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 21,"4,10 dias",24/05/2026,28/05/2026,4.1,IN DEVELOPMENT
BF3E4-4685,[SUPPLY CHAIN - 85] Entidade: KPIs de Vendas e Produção - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 8 - Squad 5,"7,16 dias",24/05/2026,26/05/2026,2.51,IN DEVELOPMENT
BF3E4-4685,[SUPPLY CHAIN - 85] Entidade: KPIs de Vendas e Produção - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 9,"4,10 dias",26/05/2026,30/05/2026,4.1,IN DEVELOPMENT
BF3E4-4635,[SUPPLY CHAIN - 79] Entidade: Views Planejamento - Budget Forecast e Estimativas - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 9 - Squad 5,"7,16 dias",24/05/2026,31/05/2026,7.16,To Do
BF3E4-4635,[SUPPLY CHAIN - 79] Entidade: Views Planejamento - Budget Forecast e Estimativas - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 5,"4,10 dias",31/05/2026,04/06/2026,4.1,To Do
BF3E4-4417,[SUPPLY CHAIN - 60] Entidade: Carga Base RapidResponse - Hierarquias e Descrições - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,Dev,Dev 10 - Squad 5,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4417,[SUPPLY CHAIN - 60] Entidade: Carga Base RapidResponse - Hierarquias e Descrições - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 7,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4430,[SUPPLY CHAIN - 61] Entidade: Cadastros de Canais e Subcanais - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 1 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4430,[SUPPLY CHAIN - 61] Entidade: Cadastros de Canais e Subcanais - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 8,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4437,"[SUPPLY CHAIN - 62] Entidade: Planejamento Operacional - Parte 1 (OSS, PSA, Confirmado) - TAMANHO: G",SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 2 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
