squad,lake,id_historia,numero,titulo,papel,recurso,duracao_dias_uteis,data_inicio,data_fim
Squad 2,MOPAR,[MOPAR - 7],7,Assunto: Mopar Results - TAMANHO: M,Engenheiro,Engenheiro 6,8.0,01/04/2026,13/04/2026
Squad 2,MOPAR,[MOPAR - 8],8,Assunto: NDC - Parte 1 (Tabelas 1-4) - TAMANHO: G,Engenheiro,Engenheiro 7,6.0,01/04/2026,09/04/2026
Squad 2,MOPAR,[MOPAR - 8],8,Assunto: NDC - Parte 1 (Tabelas 1-4) - TAMANHO: G,Analista,Analista 2,3.0,08/04/2026,10/04/2026
Squad 2,MOPAR,[MOPAR - 9],9,Assunto: NDC - Parte 2 - TAMANHO: G,Engenheiro,Engenheiro 8,6.0,01/04/2026,09/04/2026
Squad 2,MOPAR,[MOPAR - 9],9,Assunto: NDC - Parte 2 - TAMANHO: G,Analista,Analista 1,3.0,10/04/2026,14/04/2026
Squad 2,MOPAR,[MOPAR - 10],10,Assunto: NDC - Parte 3 - TAMANHO: M,Engenheiro,Engenheiro 5,4.0,06/04/2026,09/04/2026
Squad 2,MOPAR,[MOPAR - 10],10,Assunto: NDC - Parte 3 - TAMANHO: M,Analista,Analista 2,2.0,13/04/2026,14/04/2026
Squad 2,MOPAR,[MOPAR - 11],11,Assunto: SCP - Parte 1 (Garantia SG e Item) - TAMANHO: M,Engenheiro,Engenheiro 2,4.0,09/04/2026,14/04/2026
Squad 2,MOPAR,[MOPAR - 11],11,Assunto: SCP - Parte 1 (Garantia SG e Item) - TAMANHO: M,Analista,Analista 1,2.0,15/04/2026,16/04/2026
Squad 2,MOPAR,[MOPAR - 12],12,Assunto: SCP - Parte 2 (Operação e Peça) - TAMANHO: M,Engenheiro,Engenheiro 1,4.0,10/04/2026,15/04/2026
Squad 2,MOPAR,[MOPAR - 12],12,Assunto: SCP - Parte 2 (Operação e Peça) - TAMANHO: M,Analista,Analista 2,2.0,15/04/2026,16/04/2026
Squad 2,MOPAR,[MOPAR - 13],13,Assunto: SCP - Parte 3 (Débitos) - TAMANHO: M,Engenheiro,Engenheiro 5,4.0,10/04/2026,15/04/2026
Squad 2,MOPAR,[MOPAR - 13],13,Assunto: SCP - Parte 3 (Débitos) - TAMANHO: M,Analista,Analista 1,2.0,17/04/2026,20/04/2026
Squad 2,MOPAR,[MOPAR - 14],14,Assunto: Sell IN xF e xP - TAMANHO: G,Engenheiro,Engenheiro 7,8.0,10/04/2026,22/04/2026
Squad 2,MOPAR,[MOPAR - 14],14,Assunto: Sell IN xF e xP - TAMANHO: G,Analista,Analista 2,2.0,17/04/2026,20/04/2026
Squad 2,MOPAR,[MOPAR - 15],15,Assunto: SELL OUT xF e xP - TAMANHO: G,Engenheiro,Engenheiro 8,5.0,10/04/2026,16/04/2026
Squad 2,MOPAR,[MOPAR - 15],15,Assunto: SELL OUT xF e xP - TAMANHO: G,Analista,Analista 1,5.0,22/04/2026,28/04/2026
Squad 2,MOPAR,[MOPAR - 16],16,Assunto: Veiculo Conectado - TAMANHO: G,Engenheiro,Engenheiro 3,2.0,13/04/2026,14/04/2026
Squad 2,MOPAR,[MOPAR - 16],16,Assunto: Veiculo Conectado - TAMANHO: G,Analista,Analista 2,6.0,22/04/2026,29/04/2026
Squad 2,MOPAR,[MOPAR - 17],17,Assunto: Ingestão Staging - SG Liquidadas e Estornadas - TAMANHO: M,Engenheiro,Engenheiro 4,4.0,13/04/2026,16/04/2026
Squad 2,MOPAR,[MOPAR - 18],18,Assunto: Ingestão Staging - Claims e Erros SG - TAMANHO: P,Engenheiro,Engenheiro 6,2.0,14/04/2026,15/04/2026
Squad 2,MOPAR,[MOPAR - 19],19,Assunto: Ingestão Staging - User Parameters Flow API - TAMANHO: G,Engenheiro,Engenheiro 2,8.0,15/04/2026,27/04/2026
Squad 2,MOPAR,[MOPAR - 20],20,"Assunto: Ingestão Staging - IRPV, Red Dealers e Devoluções - TAMANHO: M",Engenheiro,Engenheiro 3,6.0,15/04/2026,23/04/2026
Squad 2,MOPAR,[MOPAR - 21],21,Assunto: Ingestão Staging - Carga Fria e RAM - TAMANHO: P,Engenheiro,Engenheiro 1,2.0,16/04/2026,17/04/2026
Squad 2,MOPAR,[MOPAR - 22],22,Assunto: SG Liquidadas - Principal e Itens - TAMANHO: G,Engenheiro,Engenheiro 5,6.0,16/04/2026,24/04/2026
Squad 2,MOPAR,[MOPAR - 22],22,Assunto: SG Liquidadas - Principal e Itens - TAMANHO: G,Analista,Analista 1,4.0,29/04/2026,05/05/2026
Squad 2,MOPAR,[MOPAR - 23],23,"Assunto: SG Liquidadas - Operações, Desenhos e Cubo - TAMANHO: G",Engenheiro,Engenheiro 6,4.0,16/04/2026,22/04/2026
Squad 2,MOPAR,[MOPAR - 23],23,"Assunto: SG Liquidadas - Operações, Desenhos e Cubo - TAMANHO: G",Analista,Analista 2,3.0,30/04/2026,05/05/2026
Squad 2,MOPAR,[MOPAR - 24],24,Assunto: Claims GCS - TAMANHO: P,Engenheiro,Engenheiro 4,1.0,17/04/2026,17/04/2026
Squad 2,MOPAR,[MOPAR - 24],24,Assunto: Claims GCS - TAMANHO: P,Analista,Analista 1,1.0,06/05/2026,06/05/2026
Squad 2,MOPAR,[MOPAR - 25],25,Assunto: Erros SG - TAMANHO: P,Engenheiro,Engenheiro 8,1.0,17/04/2026,17/04/2026
Squad 2,MOPAR,[MOPAR - 25],25,Assunto: Erros SG - TAMANHO: P,Analista,Analista 2,1.0,06/05/2026,06/05/2026
Squad 2,MOPAR,[MOPAR - 26],26,"Assunto: User Parameters - Tipos, Anomalias, Estorno, Budget - TAMANHO: G",Engenheiro,Engenheiro 1,4.0,20/04/2026,24/04/2026
Squad 2,MOPAR,[MOPAR - 26],26,"Assunto: User Parameters - Tipos, Anomalias, Estorno, Budget - TAMANHO: G",Analista,Analista 1,4.0,07/05/2026,12/05/2026
Squad 2,MOPAR,[MOPAR - 27],27,"Assunto: User Parameters - Grupos, Local, Operações, Tesis - TAMANHO: M",Engenheiro,Engenheiro 4,4.0,20/04/2026,24/04/2026
Squad 2,MOPAR,[MOPAR - 28],28,Assunto: Garantia Revisões DataStage - TAMANHO: P,Engenheiro,Engenheiro 8,1.0,20/04/2026,20/04/2026
Squad 2,MOPAR,[MOPAR - 28],28,Assunto: Garantia Revisões DataStage - TAMANHO: P,Analista,Analista 2,1.0,07/05/2026,07/05/2026
Squad 2,MOPAR,[MOPAR - 29],29,Assunto: IRPV MySQL - TAMANHO: M,Engenheiro,Engenheiro 8,3.0,22/04/2026,24/04/2026
Squad 2,MOPAR,[MOPAR - 29],29,Assunto: IRPV MySQL - TAMANHO: M,Analista,Analista 2,3.0,08/05/2026,12/05/2026
Squad 2,MOPAR,[MOPAR - 30],30,Assunto: IRPV2 Consolidação - TAMANHO: P,Engenheiro,Engenheiro 6,1.0,23/04/2026,23/04/2026
Squad 2,MOPAR,[MOPAR - 30],30,Assunto: IRPV2 Consolidação - TAMANHO: P,Analista,Analista 1,1.0,13/05/2026,13/05/2026
Squad 2,MOPAR,[MOPAR - 31],31,Assunto: Red Dealers - TAMANHO: M,Engenheiro,Engenheiro 7,2.0,23/04/2026,24/04/2026
Squad 2,MOPAR,[MOPAR - 31],31,Assunto: Red Dealers - TAMANHO: M,Analista,Analista 2,2.0,13/05/2026,14/05/2026
Squad 2,MOPAR,[MOPAR - 32],32,Assunto: Click - Parte 1 (Armazém e Estoque) - TAMANHO: G,Engenheiro,Engenheiro 3,8.0,24/04/2026,06/05/2026
Squad 2,MOPAR,[MOPAR - 32],32,Assunto: Click - Parte 1 (Armazém e Estoque) - TAMANHO: G,Analista,Analista 1,2.0,14/05/2026,15/05/2026
Squad 2,MOPAR,[MOPAR - 33],33,"Assunto: Click - Parte 2 (Pedidos, Notas e Faturamento) - TAMANHO: G",Engenheiro,Engenheiro 6,8.0,24/04/2026,06/05/2026
Squad 2,MOPAR,[MOPAR - 33],33,"Assunto: Click - Parte 2 (Pedidos, Notas e Faturamento) - TAMANHO: G",Analista,Analista 2,2.0,15/05/2026,18/05/2026
Squad 2,MOPAR,[MOPAR - 34],34,"Assunto: Click - Parte 3 (Transporte, Viagens e Volumes) - TAMANHO: G",Engenheiro,Engenheiro 1,6.0,27/04/2026,05/05/2026
Squad 2,MOPAR,[MOPAR - 34],34,"Assunto: Click - Parte 3 (Transporte, Viagens e Volumes) - TAMANHO: G",Analista,Analista 1,4.0,18/05/2026,21/05/2026
Squad 2,MOPAR,[MOPAR - 35],35,Assunto: Click - Parte 4 (Produtos e Estatísticas) - TAMANHO: G,Engenheiro,Engenheiro 4,6.0,27/04/2026,05/05/2026
Squad 2,MOPAR,[MOPAR - 35],35,Assunto: Click - Parte 4 (Produtos e Estatísticas) - TAMANHO: G,Analista,Analista 2,2.0,19/05/2026,20/05/2026
Squad 2,MOPAR,[MOPAR - 36],36,Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,Engenheiro,Engenheiro 5,4.0,27/04/2026,30/04/2026
Squad 2,MOPAR,[MOPAR - 36],36,Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,Analista,Analista 2,4.0,21/05/2026,26/05/2026
Squad 2,MOPAR,[MOPAR - 37],37,Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,Engenheiro,Engenheiro 7,6.0,27/04/2026,05/05/2026
Squad 2,MOPAR,[MOPAR - 37],37,Assunto: Click - Parte 5 (Produtos e Estatísticas) - TAMANHO: G,Analista,Analista 1,3.0,22/05/2026,26/05/2026
Squad 2,MOPAR,[MOPAR - 38],38,Assunto: Click - Parte 6 - TAMANHO: M,Engenheiro,Engenheiro 8,4.0,27/04/2026,30/04/2026
Squad 2,MOPAR,[MOPAR - 38],38,Assunto: Click - Parte 6 - TAMANHO: M,Analista,Analista 1,2.0,27/05/2026,28/05/2026
Squad 2,MOPAR,[MOPAR - 39],39,Assunto: Click - Parte 6 - TAMANHO: P,Engenheiro,Engenheiro 2,2.0,28/04/2026,29/04/2026
Squad 2,MOPAR,[MOPAR - 39],39,Assunto: Click - Parte 6 - TAMANHO: P,Analista,Analista 2,1.0,27/05/2026,27/05/2026
Squad 3,CLIENTE,[CLIENTE - 1],1,Assunto: Salesforce CDC - Staging (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 1,7.0,01/04/2026,10/04/2026
Squad 3,CLIENTE,[CLIENTE - 1],1,Assunto: Salesforce CDC - Staging (Parte 1) - TAMANHO: G,Analista,Analista 1,3.0,01/04/2026,06/04/2026
Squad 3,CLIENTE,[CLIENTE - 2],2,Assunto: CRM e Audiência (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 2,4.0,01/04/2026,07/04/2026
Squad 3,CLIENTE,[CLIENTE - 2],2,Assunto: CRM e Audiência (Parte 2) - TAMANHO: G,Analista,Analista 2,4.0,01/04/2026,07/04/2026
Squad 3,CLIENTE,[CLIENTE - 3],3,Assunto: Campanhas Marketing Cloud (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 3,10.0,01/04/2026,15/04/2026
Squad 3,CLIENTE,[CLIENTE - 4],4,Assunto: Campanhas Marketing Cloud (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 4,10.0,01/04/2026,15/04/2026
Squad 3,CLIENTE,[CLIENTE - 5],5,Assunto: Marketing Cloud - Target & Views (Parte 3) - TAMANHO: G,Engenheiro,Engenheiro 5,7.0,01/04/2026,10/04/2026
Squad 3,CLIENTE,[CLIENTE - 5],5,Assunto: Marketing Cloud - Target & Views (Parte 3) - TAMANHO: G,Analista,Analista 1,2.0,07/04/2026,08/04/2026
Squad 3,CLIENTE,[CLIENTE - 6],6,Assunto: Dados Públicos CNPJ - Staging (Parte 1) - TAMANHO: M,Engenheiro,Engenheiro 6,5.0,01/04/2026,08/04/2026
Squad 3,CLIENTE,[CLIENTE - 6],6,Assunto: Dados Públicos CNPJ - Staging (Parte 1) - TAMANHO: M,Analista,Analista 2,2.0,08/04/2026,09/04/2026
Squad 3,CLIENTE,[CLIENTE - 7],7,Assunto: Dados Públicos CNPJ - Target & Views (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 7,5.0,01/04/2026,08/04/2026
